MMSI,DFSI,record_count,max_gap_hours,impossible_jump_km,draft_change_count,going_dark_events,draft_change_events,teleportation_events
219009229,342.230516,83,0.000,6338.109,0,0,0,1
219006091,15.571934,3,0.000,288.392,0,0,0,1
992611330,0.932164,17,0.000,17.264,0,0,0,2
232008661,0.010779,13,0.000,0.200,0,0,0,1
220633000,0.010714,361,0.000,0.198,0,0,0,4
219031605,0.008661,34,0.000,0.160,0,0,0,1
667002344,0.008172,25,0.000,0.151,0,0,0,1
211309380,0.007795,16,0.000,0.144,0,0,0,1
249934000,0.007135,56,0.000,0.132,0,0,0,1
219026318,0.006594,35,0.000,0.122,0,0,0,1
266262000,0.006373,260,0.000,0.118,0,0,0,1
266232000,0.006304,42,0.000,0.117,0,0,0,1
219022300,0.006154,16,0.000,0.114,0,0,0,1
210017000,0.005294,40,0.000,0.098,0,0,0,1
353221000,0.004316,105,0.000,0.080,0,0,0,1
219008089,0.004303,32,0.000,0.080,0,0,0,1
255806258,0.004057,263,0.000,0.075,0,0,0,1
257276000,0.003966,73,0.000,0.073,0,0,0,1
265022000,0.003833,180,0.000,0.071,0,0,0,1
477887700,0.003831,42,0.000,0.071,0,0,0,1
511101345,0.003620,102,0.000,0.067,0,0,0,1
341223002,0.003603,173,0.000,0.067,0,0,0,1
256800000,0.003509,113,0.000,0.065,0,0,0,1
266314000,0.003462,45,0.000,0.064,0,0,0,1
219000429,0.003447,169,0.000,0.064,0,0,0,1
620999965,0.003398,286,0.000,0.063,0,0,0,1
220253000,0.003391,158,0.000,0.063,0,0,0,1
211429470,0.003279,26,0.000,0.061,0,0,0,1
255915813,0.003217,198,0.000,0.060,0,0,0,1
256281000,0.003178,112,0.000,0.059,0,0,0,1
636018066,0.003147,195,0.000,0.058,0,0,0,1
244820422,0.003117,35,0.000,0.058,0,0,0,1
277291000,0.003098,85,0.000,0.057,0,0,0,1
256741000,0.002979,232,0.000,0.055,0,0,0,1
461000286,0.002920,171,0.000,0.054,0,0,0,1
219022257,0.002902,115,0.000,0.054,0,0,0,1
305425000,0.002845,89,0.000,0.053,0,0,0,1
212521000,0.002640,103,0.000,0.049,0,0,0,1
209624000,0.002594,33,0.000,0.048,0,0,0,1
266343000,0.002535,333,0.000,0.047,0,0,0,1
305978000,0.002510,301,0.000,0.046,0,0,0,1
311014800,0.002460,148,0.000,0.046,0,0,0,1
246000000,0.002381,105,0.000,0.044,0,0,0,1
211207100,0.002108,67,0.000,0.039,0,0,0,1
314377000,0.001962,175,0.000,0.036,0,0,0,1
276462000,0.001870,117,0.000,0.035,0,0,0,1
219007378,0.001780,67,0.000,0.033,0,0,0,1
209015000,0.000000,257,0.000,0.000,0,0,0,0
245043000,0.000000,150,0.000,0.000,0,0,0,0
258373000,0.000000,75,0.000,0.000,0,0,0,0
992651028,0.000000,22,0.000,0.000,0,0,0,0
212357000,0.000000,88,0.000,0.000,0,0,0,0
219006284,0.000000,42,0.000,0.000,0,0,0,0
636022285,0.000000,26,0.000,0.000,0,0,0,0
244528000,0.000000,71,0.000,0.000,0,0,0,0
209314000,0.000000,12,0.000,0.000,0,0,0,0
219003103,0.000000,125,0.000,0.000,0,0,0,0
219959000,0.000000,47,0.000,0.000,0,0,0,0
244870072,0.000000,105,0.000,0.000,0,0,0,0
219018494,0.000000,26,0.000,0.000,0,0,0,0
266331000,0.000000,290,0.000,0.000,0,0,0,0
219013474,0.000000,4,0.000,0.000,0,0,0,0
266381000,0.000000,48,0.000,0.000,0,0,0,0
219028337,0.000000,121,0.000,0.000,0,0,0,0
219381000,0.000000,58,0.000,0.000,0,0,0,0
231898000,0.000000,108,0.000,0.000,0,0,0,0
219028256,0.000000,6,0.000,0.000,0,0,0,0
248716000,0.000000,81,0.000,0.000,0,0,0,0
265797590,0.000000,198,0.000,0.000,0,0,0,0
219034187,0.000000,5,0.000,0.000,0,0,0,0
338009000,0.000000,152,0.000,0.000,0,0,0,0
211757470,0.000000,67,0.000,0.000,0,0,0,0
246171000,0.000000,67,0.000,0.000,0,0,0,0
220046000,0.000000,59,0.000,0.000,0,0,0,0
219000179,0.000000,172,0.000,0.000,0,0,0,0
636021310,0.000000,106,0.000,0.000,0,0,0,0
219013885,0.000000,74,0.000,0.000,0,0,0,0
211217860,0.000000,8,0.000,0.000,0,0,0,0
314702000,0.000000,79,0.000,0.000,0,0,0,0
257180000,0.000000,30,0.000,0.000,0,0,0,0
219031310,0.000000,68,0.000,0.000,0,0,0,0
211731030,0.000000,36,0.000,0.000,0,0,0,0
220338000,0.000000,132,0.000,0.000,0,0,0,0
