elapsed_time_sec,completed_chunks,processed_valid_records,main_rss_mb,workers_rss_mb,total_rss_mb
0.511227,1,10000,31.312,97.988,129.301
0.865166,2,20000,33.156,103.684,136.840
1.070842,3,30000,34.121,109.543,143.664
1.361967,4,40000,35.820,115.211,151.031
1.659139,5,50000,37.156,116.082,153.238
1.957451,6,60000,39.145,117.258,156.402
2.222654,7,70000,40.844,118.566,159.410
2.481287,8,80000,42.117,119.750,161.867
2.914941,9,90000,44.414,120.613,165.027
2.946921,10,90470,45.000,121.656,166.656
2.996226,11,100470,44.777,120.516,165.293
