port_name,country,state,latitude,longitude,radius_km,source_url
Antwerp,Belgium,Flanders,51.315,4.265,30,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Bruges,Belgium,West Flanders,51.23,3.22,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Ghent,Belgium,East Flanders,51.16,3.77,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Ostend,Belgium,West Flanders,51.23,2.93,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Zeebrugge,Belgium,West Flanders,51.345,3.205,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Aabenraa,Denmark,South Denmark,55.035,9.43,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Aalborg,Denmark,North Jutland,57.055,10.005,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Aarhus,Denmark,Aarhus,56.16,10.24,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Asnæs,Denmark,Region Zealand,55.67,11.09,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Assens,Denmark,Region of Southern Denmark,55.27,9.89,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Avernakke,Denmark,Region of Southern Denmark,55.31,10.79,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Brunsbüttel,Denmark,Schleswig-Holstein,53.88,9.13,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Copenhagen,Denmark,Denmark,55.7,12.625,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Esbjerg,Denmark,Region of Southern Denmark,55.47,8.42,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Faaborg,Denmark,Region of Southern Denmark,55.09,10.24,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Fredericia,Denmark,South Denmark,55.55,9.75,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Frederikshavn,Denmark,North Jutland,57.47,10.69,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Gedser,Denmark,Zealand,54.57,11.93,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Grenaa,Denmark,Central Denmark,56.42,10.93,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Guldborg,Denmark,Region Zealand,54.87,11.75,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Gulfhavn,Denmark,Zealand,55.2,11.24,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Hanstholm,Denmark,North Denmark Region,57.12,8.59,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Helsingor,Denmark,Capital Region,56.03,12.62,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Helsingør,Denmark,Zealand,56.05,12.64,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Hirtshals,Denmark,North Denmark Region,57.6,9.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Horsens,Denmark,Denmark,55.86,9.86,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kalundborg,Denmark,Zealand,55.71,11.09,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kiel,Denmark,Schleswig-Holstein,54.36,10.15,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kolding,Denmark,South Denmark,55.49,9.5,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Korsor,Denmark,Zealand,55.35,11.04,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Køge,Denmark,Region Zealand,55.46,12.2,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Laeso,Denmark,North Denmark Region,57.27,10.705,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Lindholm,Denmark,North Jutland,55.31,10.79,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Little Belt,Denmark,Region of Southern Denmark,55.52,9.71,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Lyngs Odde,Denmark,Midtjylland,55.55,9.75,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Middelfart,Denmark,Region of Southern Denmark,55.51,9.74,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Munkebo,Denmark,Region of Southern Denmark,55.41,10.38,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Nakskov,Denmark,Zealand,54.83,11.12,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Nyborg,Denmark,Region of Southern Denmark,55.31,10.79,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Nykobing,Denmark,Zealand,54.77,11.86,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Odense,Denmark,Region of Southern Denmark,55.41,10.38,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Offshore Kattegat No.2,Denmark,Denmark,57.12,10.78,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Randers,Denmark,Central Denmark Region,56.46,10.05,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Rødby,Denmark,Region Zealand,54.65,11.35,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Rønne,Denmark,Capital Region,55.09,14.69,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Skaerbaek,Denmark,South Denmark,55.51,9.62,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Skagen,Denmark,North Denmark Region,57.9,10.62,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Stignæs,Denmark,Zealand,55.2,11.24,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Studstrup,Denmark,Aarhus,56.25,10.35,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Sønderborg,Denmark,South Denmark,54.9,9.78,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Thyboron,Denmark,Central Jutland,56.7,8.22,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Vejle,Denmark,Southern Denmark,55.71,9.55,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kunda,Estonia,Lääne-Viru County,59.57,26.52,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Meeruse,Estonia,Harju County,59.5,24.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Miiduranna,Estonia,Harju County,59.5,24.81,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Muuga,Estonia,Harju County,59.5,24.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Novotallinsky,Estonia,Harju County,59.5,24.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Paldiski,Estonia,Harju County,59.415,24.525,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Paljassaare,Estonia,Harju County,59.5,24.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Peetri,Estonia,Harju County,59.5,24.97,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Pirita,Estonia,Harju County,59.47,24.82,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Pärnu,Estonia,Pärnu maakond,58.39,24.48,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Sillamäe,Estonia,Ida-Viru County,59.42,27.74,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Tallinn,Estonia,Harju County,59.46,24.77,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Vanasadam,Estonia,Harju County,59.46,24.73,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Aland,Finland,Aland Islands,60.1,19.92,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Haakoninlahti,Finland,Finland,60.15,24.91,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Hamina,Finland,Kymenlaakso,60.54,27.18,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Hanko,Finland,Uusimaa,59.845,23.07,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Haponniemi,Finland,Finland,60.79,21.38,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Helsinki,Finland,Uusimaa,60.18,25.055,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Hepokari,Finland,Finland,60.79,21.38,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Inkoo,Finland,Uusimaa,60.01,23.96,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Jakobstad,Finland,Ostrobothnia,63.74,22.44,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kaskinen,Finland,Ostrobothnia,62.38,21.22,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kemi,Finland,Lapland,65.66,24.51,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kokkola,Finland,Central Ostrobothnia,63.86,23.04,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kotka,Finland,Kymenlaakso,60.45,26.93,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Kristinestad,Finland,Ostrobothnia,62.26,21.32,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Laajasalo,Finland,Uusimaa,60.15,24.91,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Mantyluoto,Finland,Pori,61.49,21.8,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Mariehamn,Finland,Åland Islands,60.1,19.92,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Naantali,Finland,Finland,60.45,22.07,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Nuottasaari,Finland,North Ostrobothnia,65.03,25.43,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Orivesi,Finland,Pirkanmaa,65.03,25.43,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Oulu,Finland,Northern Ostrobothnia,65.015,25.415,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Pori,Finland,Satakunta,61.49,21.8,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Porvoo,Finland,Uusimaa,60.37,25.69,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Raahe,Finland,Oulu,64.7,24.49,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Rauma,Finland,Satakunta,61.13,21.44,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Tahkoluoto,Finland,Satakunta,61.65,21.39,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Turku,Finland,Southwest Finland,60.44,22.22,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Uusikaupunki,Finland,Finland,60.79,21.38,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Vaasa,Finland,Ostrobothnia,63.1,21.59,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Vihreasaari,Finland,Finland,65.03,25.43,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Ykspihlaja,Finland,Central Ostrobothnia,63.86,23.04,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Yxpila,Finland,Central Ostrobothnia,63.86,23.04,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Altona,Germany,Hamburg,53.54,9.93,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Brake,Germany,Lower Saxony,53.33,8.49,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Bremen,Germany,Bremen,53.34,8.625,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Bremerhaven,Germany,Bremen,53.56,8.55,25,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Brunsbüttel,Germany,Schleswig-Holstein,53.765,9.325,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
Cuxhaven,Germany,Lower Saxony,53.87,8.72,20,https://raw.githubusercontent.com/tayljordan/ports/main/ports.json
