# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
31/08/2025 23:59:25,Class A,209015000,56.298892,11.413515,Under way using engine,0.0,11.9,28.1,27,9415208,5BVN2,TUNDRA,Cargo,,24,185,GPS,10.0,MAJFL,08/09/2025 10:00:00,AIS,160,25,10,14
31/08/2025 23:59:25,Class A,245043000,54.632922,11.348630,Restricted maneuverability,0.0,0.1,44.5,315,9360726,PCBV,REYNAERT,Dredging,,22,98,GPS,6.0,RODBY,08/08/2025 10:00:00,AIS,10,88,11,11
31/08/2025 23:59:25,Class A,245043000,54.632922,11.348630,Restricted maneuverability,0.0,0.1,44.5,315,9360726,PCBV,REYNAERT,Dredging,,22,98,GPS,6.0,RODBY,08/08/2025 10:00:00,AIS,10,88,11,11
31/08/2025 23:59:25,Class A,258373000,57.896315,10.739272,Under way using engine,-8.7,8.8,347.9,342,5071729,LJLM,CHRISTIAN RADICH,Sailing,,10,63,Combined GPS/GLONASS,4.8,DK AAL> NO TRF,01/09/2025 15:15:00,AIS,51,12,4,6
31/08/2025 23:59:25,AtoN,992651028,56.888067,12.474000,Unknown value,,,,,Unknown,Unknown,FALKENBERG 2,Undefined,,,,Undefined,,Unknown,,AIS,,,,
31/08/2025 23:59:25,Class A,245043000,54.632922,11.348630,Restricted maneuverability,0.0,0.1,44.5,315,9360726,PCBV,REYNAERT,Dredging,,22,98,GPS,6.0,RODBY,08/08/2025 10:00:00,AIS,10,88,11,11
31/08/2025 23:59:25,Class A,212357000,57.730430,11.169860,Under way using engine,0.0,11.8,329.6,330,9322011,5BNG2,MSC YOSHEEN,Cargo,,25,184,GPS,9.3,NOBVK,01/09/2025 08:00:00,AIS,161,23,17,8
31/08/2025 23:59:25,AtoN,992651028,56.888067,12.474000,Unknown value,,,,,Unknown,Unknown,FALKENBERG 2,Undefined,,,,Undefined,,Unknown,,AIS,,,,
31/08/2025 23:59:25,AtoN,992651028,56.888067,12.474000,Unknown value,,,,,Unknown,Unknown,FALKENBERG 2,Undefined,,,,Undefined,,Unknown,,AIS,,,,
31/08/2025 23:59:25,Class A,265022000,54.962308,13.564657,Under way using engine,0.0,19.8,250.3,249,9884679,SBTK,BOTNIA ENABLER,Cargo,Category X,36,242,GPS,8.7,DETRV,01/09/2025 07:00:00,AIS,155,87,21,15
31/08/2025 23:59:25,Class A,219006284,56.763968,8.863532,Reserved for future use,,0.0,,,Unknown,OXVJ,HELLE,Fishing,,4,15,Internal,,Unknown,,AIS,14,1,2,2
31/08/2025 23:59:25,Class A,636022285,55.837748,6.487095,Under way using engine,0.0,10.5,213.7,214,9325099,5LIA9,PARALOS,Cargo,,27,171,GPS,10.1,MASFI,07/09/2025 12:00:00,AIS,145,26,16,11
31/08/2025 23:59:25,Class A,244528000,56.954685,8.696665,Under way sailing,,0.0,,,7025126,PGZM,REGINA MARIS,Sailing,,6,48,Internal,2.8,DKHVS,27/08/2025 08:00:00,AIS,28,20,2,4
31/08/2025 23:59:25,Class A,209314000,53.948290,9.231878,Under way using engine,0.0,6.9,222.2,222,9277345,5BAN5,JUTLAND,Cargo,Category Y,15,120,GPS,6.9,NLRTM VIA NOK,02/09/2025 06:00:00,AIS,106,14,4,11
31/08/2025 23:59:25,Class A,244528000,56.954685,8.696665,Under way sailing,,0.0,,,7025126,PGZM,REGINA MARIS,Sailing,,6,48,Internal,2.8,DKHVS,27/08/2025 08:00:00,AIS,28,20,2,4
31/08/2025 23:59:25,Class A,265022000,54.962308,13.564657,Under way using engine,0.0,19.8,250.3,249,9884679,SBTK,BOTNIA ENABLER,Cargo,Category X,36,242,GPS,8.7,DETRV,01/09/2025 07:00:00,AIS,155,87,21,15
31/08/2025 23:59:25,Class A,219003103,55.449488,10.664422,Unknown value,,0.0,336.8,,Unknown,5QBI,O 98 AMANDA,Fishing,,3,12,GPS,,Unknown,,AIS,9,3,1,2
31/08/2025 23:59:25,Class A,219003103,55.449488,10.664422,Unknown value,,0.0,336.8,,Unknown,5QBI,O 98 AMANDA,Fishing,,3,12,GPS,,Unknown,,AIS,9,3,1,2
31/08/2025 23:59:25,Class A,219959000,57.239985,8.514127,Engaged in fishing,0.0,5.1,339.9,336,Unknown,OZZH,MADSALUNE,Fishing,,6,24,GPS,4.0,HVIDE SANDE,24/12/2025 05:00:00,AIS,19,5,3,3
31/08/2025 23:59:25,Class A,219003103,55.449488,10.664422,Unknown value,,0.0,336.8,,Unknown,5QBI,O 98 AMANDA,Fishing,,3,12,GPS,,Unknown,,AIS,9,3,1,2
31/08/2025 23:59:25,Class A,219003103,55.449488,10.664422,Unknown value,,0.0,336.8,,Unknown,5QBI,O 98 AMANDA,Fishing,,3,12,GPS,,Unknown,,AIS,9,3,1,2
