# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
01/09/2025 23:59:14,Class A,211807040,53.999148,8.327477,Engaged in fishing,0.0,2.5,105.5,109,Unknown,DITO,SC4 CAP SKAGEN,Fishing,,5,18,GPS,1.7,BUESUM,,AIS,3,15,1,4
01/09/2025 23:59:14,Class A,219021176,57.593365,9.960995,Engaged in fishing,,0.0,323.7,,Unknown,OU5669,HG 306 TOBIS,Fishing,,3,10,GPS,1.2,HIRTSHALS,11/06/2026 21:00:00,AIS,1,9,1,2
01/09/2025 23:59:14,Class A,244528000,56.145575,10.741437,Under way using engine,,6.5,223.4,,7025126,PGZM,REGINA MARIS,Sailing,,6,48,Internal,2.8,DKHVS,27/08/2026 08:00:00,AIS,28,20,2,4
01/09/2025 23:59:14,Class A,244915000,56.421355,7.726327,Under way using engine,0.0,3.6,250.4,213,9929405,PCOD,SEAZIP 11,HSC,No additional information,10,27,GPS,2.3,THOR WF - DK TMD,30/08/2026 20:00:00,AIS,20,7,5,5
01/09/2025 23:59:14,Class A,211247340,53.857717,8.738597,Under way using engine,0.0,0.2,302.2,146,8995055,DILY,HH 204,Other,No additional information,10,59,GPS,1.4,CUXHAVEN,10/05/2026 12:00:00,AIS,52,7,5,5
01/09/2025 23:59:14,Class A,244528000,56.145575,10.741437,Under way using engine,,6.5,223.4,,7025126,PGZM,REGINA MARIS,Sailing,,6,48,Internal,2.8,DKHVS,27/08/2026 08:00:00,AIS,28,20,2,4
01/09/2025 23:59:14,Class A,219167000,55.454818,12.189223,Moored,0.0,0.0,,280,Unknown,OVQG2,MERKUR <GUARDVESSEL>,Other,,6,34,Internal,3.6,KOEGE,01/09/2025 10:30:00,AIS,18,16,3,3
01/09/2025 23:59:14,Class A,255915980,56.246203,4.393783,Under way using engine,16.1,11.0,359.7,358,9407976,CQ2438,STEN FRIGG,Tanker,,23,144,GPS,8.4,NOMON,03/09/2025 04:00:00,AIS,112,32,7,16
01/09/2025 23:59:14,Class A,220099000,56.848733,11.995533,Engaged in fishing,0.0,2.5,283.0,278,Unknown,OUVI,RS 151 EJCA,Fishing,,6,17,Undefined,,BONNERUP STRAD,,AIS,13,4,4,2
01/09/2025 23:59:14,Class A,244110938,55.264147,13.027722,Under way using engine,0.0,4.2,276.5,272,9374698,PDFG,SPEYK,Cargo,,13,90,GPS,5.4,GBGOO,06/09/2025 12:00:00,AIS,82,8,7,6
01/09/2025 23:59:14,Class A,338009000,55.188345,11.076035,Under way using engine,0.0,13.2,221.3,218,9339818,WDI3177,GREEN BAY,Cargo,,33,200,GPS,7.6,X,03/09/2025 02:00:00,AIS,32,168,14,19
01/09/2025 23:59:14,Class A,338009000,55.188345,11.076035,Under way using engine,0.0,13.2,221.3,218,9339818,WDI3177,GREEN BAY,Cargo,,33,200,GPS,7.6,X,03/09/2025 02:00:00,AIS,32,168,14,19
01/09/2025 23:59:14,Class A,338009000,55.188345,11.076035,Under way using engine,0.0,13.2,221.3,218,9339818,WDI3177,GREEN BAY,Cargo,,33,200,GPS,7.6,X,03/09/2025 02:00:00,AIS,32,168,14,19
